name,model,num_contacts,contact_prob_min,contact_prob_mean,contact_probs,genome_id,cluster_ids
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-8_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-10_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-9_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-4_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-2_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-5_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-6_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-3_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-1_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_7_1mer,seed-7_sample-0,0,,,,bz_0,"cluster_7, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-8_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-10_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-9_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-4_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-2_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-5_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-6_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-3_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-1_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_0_1mer,seed-7_sample-0,0,,,,bz_0,"cluster_0, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-8_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-10_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-9_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-4_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-2_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-5_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-6_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-3_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-1_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_4_1mer,seed-7_sample-0,0,,,,bz_0,"cluster_4, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-8_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-10_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-9_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-4_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-2_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-5_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-6_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-3_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
bz_0_cluster_8_1mer-bz_0_cluster_5_1mer,seed-1_sample-0,0,,,,bz_0,"cluster_5, cluster_8"
