path,name,msa_unpaired_num_seqs,msa_paired_num_seqs,iptms,ptms,best_model,iptm_best_model,ptm_best_model,num_seeds,num_protein_chains,num_proteins
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_3.1_43,orfm.bz_3.1_43,11,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]",seed-2_sample-4,,0.88,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_7.1_194,orfm.bz_7.1_194,10,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.88, 0.87, 0.87, 0.87, 0.88, 0.88, 0.88, 0.88, 0.88, 0.87, 0.87, 0.88, 0.88, 0.87, 0.88]",seed-3_sample-0,,0.88,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_0.1_169,orfm.bz_0.1_169,8,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.39, 0.4, 0.38, 0.39, 0.39, 0.39, 0.39, 0.4, 0.39, 0.39, 0.38, 0.39, 0.41, 0.4, 0.39]",seed-2_sample-3,,0.39,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_2.1_142,orfm.bz_2.1_142,8,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.8, 0.8, 0.79, 0.8, 0.8, 0.8, 0.79, 0.8, 0.79, 0.8, 0.79, 0.8, 0.8, 0.79, 0.8]",seed-1_sample-4,,0.8,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_0.1_175,orfm.bz_0.1_175,10,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.39, 0.4, 0.39, 0.4, 0.37, 0.38, 0.4, 0.4, 0.39, 0.38, 0.39, 0.39, 0.4, 0.39, 0.39]",seed-3_sample-0,,0.39,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_8.1_206,orfm.bz_8.1_206,10,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.36, 0.34, 0.36, 0.32, 0.34, 0.36, 0.35, 0.36, 0.36, 0.35, 0.35, 0.34, 0.35, 0.36, 0.36]",seed-2_sample-4,,0.36,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_9.1_140,orfm.bz_9.1_140,10,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.91, 0.91, 0.91, 0.92, 0.91, 0.91, 0.91, 0.91, 0.91, 0.91, 0.92, 0.91, 0.91, 0.91, 0.91]",seed-3_sample-2,,0.92,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_5.1_140,orfm.bz_5.1_140,10,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.32, 0.34, 0.32, 0.33, 0.34, 0.34, 0.32, 0.32, 0.33, 0.36, 0.32, 0.35, 0.33, 0.33, 0.34]",seed-2_sample-0,,0.36,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_8.1_149,orfm.bz_8.1_149,8,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.39, 0.39, 0.4, 0.38, 0.39, 0.4, 0.39, 0.39, 0.39, 0.38, 0.39, 0.39, 0.37, 0.39, 0.38]",seed-1_sample-4,,0.39,3,1,1
/home/prichter/Documents/banfield/betazoid/data/genes/alphafold/af_output/orfm.bz_1.1_21,orfm.bz_1.1_21,8,0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.74, 0.76, 0.77, 0.79, 0.73, 0.77, 0.78, 0.77, 0.77, 0.78, 0.76, 0.75, 0.76, 0.77, 0.78]",seed-1_sample-1,,0.79,3,1,1
