Petroleum-contam_soil_SRR29383098_scaffold_2108.1	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	1	300	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.1	Petroleum-contam_soil_SRR29383098_scaffold_10786	89.369	301	30	2	1	300	1486	1785	1.52e-103	377
Petroleum-contam_soil_SRR29383098_scaffold_2108.2	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	301	600	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.3	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	601	900	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.3	Petroleum-contam_soil_SRR29383098_scaffold_10786	87.075	294	36	2	1	293	2086	2378	1.20e-89	331
Petroleum-contam_soil_SRR29383098_scaffold_2108.4	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	901	1200	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.5	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	1201	1500	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.5	Petroleum-contam_soil_SRR29383098_scaffold_120293	87.333	300	38	0	1	300	632	333	1.54e-93	344
Petroleum-contam_soil_SRR29383098_scaffold_2108.5	Petroleum-contam_soil_SRR29383098_scaffold_10786	84.950	299	45	0	1	299	2686	2984	2.61e-81	303
Petroleum-contam_soil_SRR29383098_scaffold_2108.6	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	1501	1800	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.7	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	1801	2100	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.8	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	2101	2400	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.8	Petroleum-contam_soil_SRR29383098_scaffold_7268	90.508	295	28	0	6	300	4648	4354	1.95e-107	390
Petroleum-contam_soil_SRR29383098_scaffold_2108.8	Petroleum-contam_soil_SRR29383098_scaffold_55724	92.143	140	11	0	161	300	2	141	1.27e-49	198
Petroleum-contam_soil_SRR29383098_scaffold_2108.8	Petroleum-contam_soil_SRR29383098_scaffold_10786	96.000	75	3	0	1	75	3583	3657	7.85e-27	122
Petroleum-contam_soil_SRR29383098_scaffold_2108.9	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	2401	2700	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.9	Petroleum-contam_soil_SRR29383098_scaffold_55724	88.040	301	31	3	1	297	142	441	9.20e-96	351
Petroleum-contam_soil_SRR29383098_scaffold_2108.9	Petroleum-contam_soil_SRR29383098_scaffold_7268	87.708	301	32	3	1	297	4353	4054	4.28e-94	346
Petroleum-contam_soil_SRR29383098_scaffold_2108.10	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	2701	3000	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.11	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	3001	3300	6.53e-157	555
Petroleum-contam_soil_SRR29383098_scaffold_2108.11	Petroleum-contam_soil_SRR29383098_scaffold_7268	89.000	300	33	0	1	300	3741	3442	7.06e-102	372
Petroleum-contam_soil_SRR29383098_scaffold_2108.12	Petroleum-contam_soil_SRR29383098_scaffold_2108	100.000	300	0	0	1	300	3301	3600	6.53e-157	555
